datetime;pulses_per_minute
2022-12-23 20:42:4;9
2022-12-23 20:43:4;19
2022-12-23 20:45:50;17
2022-12-23 20:46:50;24
2022-12-23 20:47:50;15
2022-12-23 20:48:50;18
2022-12-23 20:49:50;12
2022-12-23 20:50:50;15
2022-12-23 20:51:50;13
2022-12-23 20:52:50;13
2022-12-23 20:53:50;14
2022-12-23 20:54:50;12
2022-12-23 20:55:50;15
2022-12-23 20:56:50;17
2022-12-23 20:57:50;20
2022-12-23 20:58:50;9
2022-12-23 20:59:50;9
2022-12-23 21:0:50;10
2022-12-23 21:1:50;13
2022-12-23 21:2:50;12
2022-12-23 21:3:50;18
2022-12-23 21:4:50;16
2022-12-23 21:5:50;17
2022-12-23 21:6:50;9
2022-12-23 21:7:50;22
2022-12-23 21:8:50;14
2022-12-23 21:9:50;15
2022-12-23 21:10:50;9
2022-12-23 21:11:50;14
2022-12-23 21:12:50;12
2022-12-23 21:13:50;14
2022-12-23 21:14:50;20
2022-12-23 21:15:50;16
2022-12-23 21:16:50;13
2022-12-23 21:17:50;17
2022-12-23 21:18:50;10
2022-12-23 21:19:50;13
2022-12-23 21:20:50;22
2022-12-23 21:21:50;16
2022-12-23 21:22:50;10
2022-12-23 21:23:50;11
2022-12-23 21:24:50;19
2022-12-23 21:25:50;11
2022-12-23 21:26:50;14
2022-12-23 21:27:50;12
2022-12-23 21:28:50;19
2022-12-23 21:29:50;15
2022-12-23 21:30:50;15
2022-12-23 21:31:50;24
2022-12-23 21:32:50;10
2022-12-23 21:33:50;15
2022-12-23 21:34:50;12
2022-12-23 21:35:50;7
2022-12-23 21:36:50;12
2022-12-23 21:37:50;12
2022-12-23 21:38:50;19
2022-12-23 21:39:50;20
2022-12-23 21:40:50;22
2022-12-23 21:41:50;10
2022-12-23 21:42:50;15
2022-12-23 21:43:50;21
2022-12-23 21:44:50;14
2022-12-23 21:45:50;14
2022-12-23 21:46:50;13
2022-12-23 21:47:50;31
2022-12-23 21:48:50;15
2022-12-23 21:49:50;16
2022-12-23 21:50:50;19
2022-12-23 21:51:50;14
2022-12-23 21:52:50;14
2022-12-23 21:53:50;17
2022-12-23 21:54:50;15
2022-12-23 21:55:50;12
2022-12-23 21:56:50;15
2022-12-23 21:57:50;22
2022-12-23 21:58:50;17
2022-12-23 21:59:50;9
2022-12-23 22:0:50;12
2022-12-23 22:1:50;18
2022-12-23 22:2:50;18
2022-12-23 22:3:50;12
2022-12-23 22:4:50;7
2022-12-23 22:5:50;10
2022-12-23 22:6:50;22
2022-12-23 22:7:50;18
2022-12-23 22:8:50;10
2022-12-23 22:9:50;21
2022-12-23 22:10:50;17
2022-12-23 22:11:51;8
2022-12-23 22:12:51;15
2022-12-23 22:13:51;17
2022-12-23 22:14:51;14
2022-12-23 22:15:51;13
2022-12-23 22:16:51;19
2022-12-23 22:17:51;10
2022-12-23 22:18:51;14
2022-12-23 22:19:51;16
2022-12-23 22:20:51;16
2022-12-23 22:21:51;14
2022-12-23 22:22:51;11
2022-12-23 22:23:51;16
2022-12-23 22:24:51;11
2022-12-23 22:25:51;12
2022-12-23 22:26:51;18
2022-12-23 22:27:51;22
2022-12-23 22:28:51;15
2022-12-23 22:29:51;17
2022-12-23 22:30:51;17
2022-12-23 22:31:51;12
2022-12-23 22:32:51;12
2022-12-23 22:33:51;16
2022-12-23 22:34:51;15
2022-12-23 22:35:51;18
2022-12-23 22:36:51;11
2022-12-23 22:37:51;16
2022-12-23 22:38:51;14
2022-12-23 22:39:51;17
2022-12-23 22:40:51;14
2022-12-23 22:41:51;15
2022-12-23 22:42:51;15
2022-12-23 22:43:51;20
2022-12-23 22:44:51;18
2022-12-23 22:45:51;16
2022-12-23 22:46:51;12
2022-12-23 22:47:51;11
2022-12-23 22:48:51;19
2022-12-23 22:49:51;18
2022-12-23 22:50:51;14
2022-12-23 22:51:51;14
2022-12-23 22:52:51;11
2022-12-23 22:53:51;10
2022-12-23 22:54:51;22
2022-12-23 22:55:51;17
2022-12-23 22:56:51;18
2022-12-23 22:57:51;17
2022-12-23 22:58:51;12
2022-12-23 22:59:51;24
2022-12-23 23:0:51;9
2022-12-23 23:1:51;15
2022-12-23 23:2:51;11
2022-12-23 23:3:51;18
2022-12-23 23:4:51;19
2022-12-23 23:5:51;16
2022-12-23 23:6:51;6
2022-12-23 23:7:51;13
2022-12-23 23:8:51;15
2022-12-23 23:9:51;14
2022-12-23 23:10:51;20
2022-12-23 23:11:51;20
2022-12-23 23:12:51;11
2022-12-23 23:13:51;23
2022-12-23 23:14:51;12
2022-12-23 23:15:51;16
2022-12-23 23:16:51;15
2022-12-23 23:17:51;11
2022-12-23 23:18:51;21
2022-12-23 23:19:51;17
2022-12-23 23:20:51;11
2022-12-23 23:21:51;16
2022-12-23 23:22:51;13
2022-12-23 23:23:51;12
2022-12-23 23:24:51;14
2022-12-23 23:25:51;12
2022-12-23 23:26:51;14
2022-12-23 23:27:51;16
2022-12-23 23:28:51;14
2022-12-23 23:29:51;14
2022-12-23 23:30:51;13
2022-12-23 23:31:51;15
2022-12-23 23:32:51;19
2022-12-23 23:33:51;13
2022-12-23 23:34:51;15
2022-12-23 23:35:51;11
2022-12-23 23:36:51;14
2022-12-23 23:37:51;26
2022-12-23 23:38:51;18
2022-12-23 23:39:51;16
2022-12-23 23:40:51;16
2022-12-23 23:41:51;19
2022-12-23 23:42:51;20
2022-12-23 23:43:51;25
2022-12-23 23:44:51;15
2022-12-23 23:45:51;11
2022-12-23 23:46:51;17
2022-12-23 23:47:51;14
2022-12-23 23:48:51;11
2022-12-23 23:49:51;13
2022-12-23 23:50:51;25
2022-12-23 23:51:51;11
2022-12-23 23:52:51;17
2022-12-23 23:53:51;16
2022-12-23 23:54:51;22
2022-12-23 23:55:52;13
2022-12-23 23:56:52;10
2022-12-23 23:57:52;18
2022-12-23 23:58:52;9
2022-12-23 23:59:52;20
2022-12-24 0:0:52;18
2022-12-24 0:1:52;19
2022-12-24 0:2:52;16
2022-12-24 0:3:52;15
2022-12-24 0:4:52;14
2022-12-24 0:5:52;13
2022-12-24 0:6:52;12
2022-12-24 0:7:52;22
2022-12-24 0:8:52;19
2022-12-24 0:9:52;12
2022-12-24 0:10:52;15
2022-12-24 0:11:52;26
2022-12-24 0:12:52;13
2022-12-24 0:13:52;23
2022-12-24 0:14:52;17
2022-12-24 0:15:52;17
2022-12-24 0:16:52;17
2022-12-24 0:17:52;17
2022-12-24 0:18:52;14
2022-12-24 0:19:52;15
2022-12-24 0:20:52;15
2022-12-24 0:21:52;10
2022-12-24 0:22:52;14
2022-12-24 0:23:52;18
2022-12-24 0:24:52;9
2022-12-24 0:25:52;15
2022-12-24 0:26:52;15
2022-12-24 0:27:52;14
2022-12-24 0:28:52;19
2022-12-24 0:29:52;11
2022-12-24 0:30:52;17
2022-12-24 0:31:52;15
2022-12-24 0:32:52;19
2022-12-24 0:33:52;15
2022-12-24 0:34:52;12
2022-12-24 0:35:52;16
2022-12-24 0:36:52;17
2022-12-24 0:37:52;16
2022-12-24 0:38:52;14
2022-12-24 0:39:52;11
2022-12-24 0:40:52;19
2022-12-24 0:41:52;12
2022-12-24 0:42:52;20
2022-12-24 0:43:52;18
2022-12-24 0:44:52;20
2022-12-24 0:45:52;9
2022-12-24 0:46:52;8
2022-12-24 0:47:52;13
2022-12-24 0:48:52;17
2022-12-24 0:49:52;17
2022-12-24 0:50:52;22
2022-12-24 0:51:52;19
2022-12-24 0:52:52;20
2022-12-24 0:53:52;21
2022-12-24 0:54:52;14
2022-12-24 0:55:52;12
2022-12-24 0:56:52;18
2022-12-24 0:57:52;15
2022-12-24 0:58:52;14
2022-12-24 0:59:52;20
2022-12-24 1:0:52;11
2022-12-24 1:1:52;14
2022-12-24 1:2:52;9
2022-12-24 1:3:52;19
2022-12-24 1:4:52;19
2022-12-24 1:5:52;13
2022-12-24 1:6:52;18
2022-12-24 1:7:52;14
2022-12-24 1:8:52;22
2022-12-24 1:9:52;14
2022-12-24 1:10:52;10
2022-12-24 1:11:52;13
2022-12-24 1:12:52;14
2022-12-24 1:13:52;17
2022-12-24 1:14:52;13
2022-12-24 1:15:52;19
2022-12-24 1:16:52;21
2022-12-24 1:17:52;18
2022-12-24 1:18:52;19
2022-12-24 1:19:52;13
2022-12-24 1:20:52;15
2022-12-24 1:21:52;20
2022-12-24 1:22:52;17
2022-12-24 1:23:52;14
2022-12-24 1:24:52;15
2022-12-24 1:25:52;11
2022-12-24 1:26:52;18
2022-12-24 1:27:52;21
2022-12-24 1:28:52;16
2022-12-24 1:29:52;18
2022-12-24 1:30:52;13
2022-12-24 1:31:52;18
2022-12-24 1:32:52;19
2022-12-24 1:33:52;15
2022-12-24 1:34:52;17
2022-12-24 1:35:52;14
2022-12-24 1:36:52;18
2022-12-24 1:37:52;18
2022-12-24 1:38:52;10
2022-12-24 1:39:52;17
2022-12-24 1:40:52;19
2022-12-24 1:41:52;19
2022-12-24 1:42:52;21
2022-12-24 1:43:52;30
2022-12-24 1:44:52;18
2022-12-24 1:45:52;13
2022-12-24 1:46:52;17
2022-12-24 1:47:52;12
2022-12-24 1:48:52;13
2022-12-24 1:49:52;14
2022-12-24 1:50:52;19
2022-12-24 1:51:52;12
2022-12-24 1:52:52;13
2022-12-24 1:53:52;23
2022-12-24 1:54:52;21
2022-12-24 1:55:52;19
2022-12-24 1:56:53;9
2022-12-24 1:57:53;19
2022-12-24 1:58:53;20
2022-12-24 1:59:53;17
2022-12-24 2:0:53;16
2022-12-24 2:1:53;21
2022-12-24 2:2:53;12
2022-12-24 2:3:53;14
2022-12-24 2:4:53;12
2022-12-24 2:5:53;9
2022-12-24 2:6:53;21
2022-12-24 2:7:53;14
2022-12-24 2:8:53;13
2022-12-24 2:9:53;6
2022-12-24 2:10:53;8
2022-12-24 2:11:53;12
2022-12-24 2:12:53;18
2022-12-24 2:13:53;20
2022-12-24 2:14:53;17
2022-12-24 2:15:53;18
2022-12-24 2:16:53;12
2022-12-24 2:17:53;14
2022-12-24 2:18:53;21
2022-12-24 2:19:53;15
2022-12-24 2:20:53;23
2022-12-24 2:21:53;17
2022-12-24 2:22:53;18
2022-12-24 2:23:53;23
2022-12-24 2:24:53;11
2022-12-24 2:25:53;17
2022-12-24 2:26:53;18
2022-12-24 2:27:53;11
2022-12-24 2:28:53;15
2022-12-24 2:29:53;22
2022-12-24 2:30:53;25
2022-12-24 2:31:53;19
2022-12-24 2:32:53;22
2022-12-24 2:33:53;21
2022-12-24 2:34:53;14
2022-12-24 2:35:53;20
2022-12-24 2:36:53;24
2022-12-24 2:37:53;20
2022-12-24 2:38:53;19
2022-12-24 2:39:53;12
2022-12-24 2:40:53;19
2022-12-24 2:41:53;24
2022-12-24 2:42:53;18
2022-12-24 2:43:53;19
2022-12-24 2:44:53;14
2022-12-24 2:45:53;19
2022-12-24 2:46:53;27
2022-12-24 2:47:53;12
2022-12-24 2:48:53;20
2022-12-24 2:49:53;15
2022-12-24 2:50:53;17
2022-12-24 2:51:53;14
2022-12-24 2:52:53;20
2022-12-24 2:53:53;17
2022-12-24 2:54:53;14
2022-12-24 2:55:53;13
2022-12-24 2:56:53;24
2022-12-24 2:57:53;14
2022-12-24 2:58:53;23
2022-12-24 2:59:53;18
2022-12-24 3:0:53;15
2022-12-24 3:1:53;18
2022-12-24 3:2:53;11
2022-12-24 3:3:53;17
2022-12-24 3:4:53;18
2022-12-24 3:5:53;21
2022-12-24 3:6:53;15
2022-12-24 3:7:53;16
2022-12-24 3:8:53;15
2022-12-24 3:9:53;11
2022-12-24 3:10:53;15
2022-12-24 3:11:53;18
2022-12-24 3:12:53;10
2022-12-24 3:13:53;15
2022-12-24 3:14:53;13
2022-12-24 3:15:53;13
2022-12-24 3:16:53;16
2022-12-24 3:17:53;17
2022-12-24 3:18:53;14
2022-12-24 3:19:53;15
2022-12-24 3:20:53;20
2022-12-24 3:21:53;16
2022-12-24 3:22:53;16
2022-12-24 3:23:53;18
2022-12-24 3:24:53;18
2022-12-24 3:25:53;18
2022-12-24 3:26:53;14
2022-12-24 3:27:53;16
2022-12-24 3:28:53;20
2022-12-24 3:29:53;14
2022-12-24 3:30:53;15
2022-12-24 3:31:53;12
2022-12-24 3:32:53;8
2022-12-24 3:33:53;18
2022-12-24 3:34:53;19
2022-12-24 3:35:53;14
2022-12-24 3:36:53;16
2022-12-24 3:37:53;16
2022-12-24 3:38:53;16
2022-12-24 3:39:53;20
2022-12-24 3:40:53;11
2022-12-24 3:41:53;8
2022-12-24 3:42:53;16
2022-12-24 3:43:53;14
2022-12-24 3:44:53;14
2022-12-24 3:45:53;16
2022-12-24 3:46:53;15
2022-12-24 3:47:53;18
2022-12-24 3:48:53;16
2022-12-24 3:49:53;19
2022-12-24 3:50:53;16
2022-12-24 3:51:53;15
2022-12-24 3:52:53;27
2022-12-24 3:53:53;20
2022-12-24 3:54:53;16
2022-12-24 3:55:53;14
2022-12-24 3:56:53;25
2022-12-24 3:57:53;19
2022-12-24 3:58:53;18
2022-12-24 3:59:53;17
2022-12-24 4:0:53;17
2022-12-24 4:1:53;19
2022-12-24 4:2:53;20
2022-12-24 4:3:53;18
2022-12-24 4:4:53;16
2022-12-24 4:5:53;13
2022-12-24 4:6:53;22
2022-12-24 4:7:53;15
2022-12-24 4:8:53;16
2022-12-24 4:9:53;15
2022-12-24 4:10:53;14
2022-12-24 4:11:53;14
2022-12-24 4:12:53;19
2022-12-24 4:13:53;22
2022-12-24 4:14:53;19
2022-12-24 4:15:53;14
2022-12-24 4:16:54;13
2022-12-24 4:17:54;16
2022-12-24 4:18:54;17
2022-12-24 4:19:54;12
2022-12-24 4:20:54;17
2022-12-24 4:21:54;17
2022-12-24 4:22:54;16
2022-12-24 4:23:54;19
2022-12-24 4:24:54;19
2022-12-24 4:25:54;17
2022-12-24 4:26:54;10
2022-12-24 4:27:54;27
2022-12-24 4:28:54;14
2022-12-24 4:29:54;15
2022-12-24 4:30:54;15
2022-12-24 4:31:54;15
2022-12-24 4:32:54;14
2022-12-24 4:33:54;15
2022-12-24 4:34:54;9
2022-12-24 4:35:54;14
2022-12-24 4:36:54;21
2022-12-24 4:37:54;18
2022-12-24 4:38:54;15
2022-12-24 4:39:54;20
2022-12-24 4:40:54;19
2022-12-24 4:41:54;22
2022-12-24 4:42:54;16
2022-12-24 4:43:54;14
2022-12-24 4:44:54;18
2022-12-24 4:45:54;20
2022-12-24 4:46:54;12
2022-12-24 4:47:54;18
2022-12-24 4:48:54;23
2022-12-24 4:49:54;14
2022-12-24 4:50:54;12
2022-12-24 4:51:54;20
2022-12-24 4:52:54;16
2022-12-24 4:53:54;23
2022-12-24 4:54:54;15
2022-12-24 4:55:54;17
2022-12-24 4:56:54;19
2022-12-24 4:57:54;27
2022-12-24 4:58:54;18
2022-12-24 4:59:54;16
2022-12-24 5:0:54;21
2022-12-24 5:1:54;24
2022-12-24 5:2:54;14
2022-12-24 5:3:54;9
2022-12-24 5:4:54;19
2022-12-24 5:5:54;23
2022-12-24 5:6:54;19
2022-12-24 5:7:54;17
2022-12-24 5:8:54;13
2022-12-24 5:9:54;9
2022-12-24 5:10:54;17
2022-12-24 5:11:54;18
2022-12-24 5:12:54;13
2022-12-24 5:13:54;22
2022-12-24 5:14:54;11
2022-12-24 5:15:54;18
2022-12-24 5:16:54;22
2022-12-24 5:17:54;14
2022-12-24 5:18:54;13
2022-12-24 5:19:54;16
2022-12-24 5:20:54;13
2022-12-24 5:21:54;17
2022-12-24 5:22:54;17
2022-12-24 5:23:54;9
2022-12-24 5:24:54;20
2022-12-24 5:25:54;9
2022-12-24 5:26:54;19
2022-12-24 5:27:54;15
2022-12-24 5:28:54;18
2022-12-24 5:29:54;22
2022-12-24 5:30:54;16
2022-12-24 5:31:54;18
2022-12-24 5:32:54;14
2022-12-24 5:33:54;16
2022-12-24 5:34:54;22
2022-12-24 5:35:54;15
2022-12-24 5:36:54;14
2022-12-24 5:37:54;19
2022-12-24 5:38:54;23
2022-12-24 5:39:54;20
2022-12-24 5:40:54;20
2022-12-24 5:41:54;25
2022-12-24 5:42:54;19
2022-12-24 5:43:54;17
2022-12-24 5:44:54;12
2022-12-24 5:45:54;23
2022-12-24 5:46:54;20
2022-12-24 5:47:54;21
2022-12-24 5:48:54;22
2022-12-24 5:49:54;16
2022-12-24 5:50:54;23
2022-12-24 5:51:54;24
2022-12-24 5:52:54;17
2022-12-24 5:53:54;13
2022-12-24 5:54:54;19
2022-12-24 5:55:54;14
2022-12-24 5:56:54;7
2022-12-24 5:57:54;19
2022-12-24 5:58:54;20
2022-12-24 5:59:54;10
2022-12-24 6:0:54;15
2022-12-24 6:1:54;16
2022-12-24 6:2:54;16
2022-12-24 6:3:54;9
2022-12-24 6:4:54;15
2022-12-24 6:5:54;10
2022-12-24 6:6:54;21
2022-12-24 6:7:54;12
2022-12-24 6:8:54;19
2022-12-24 6:9:54;21
2022-12-24 6:10:54;18
2022-12-24 6:11:54;17
2022-12-24 6:12:54;16
2022-12-24 6:13:54;10
2022-12-24 6:14:54;18
2022-12-24 6:15:54;13
2022-12-24 6:16:54;16
2022-12-24 6:17:54;27
2022-12-24 6:18:54;20
2022-12-24 6:19:54;16
2022-12-24 6:20:54;17
2022-12-24 6:21:54;20
2022-12-24 6:22:54;9
2022-12-24 6:23:54;26
2022-12-24 6:24:54;9
2022-12-24 6:25:54;25
2022-12-24 6:26:54;22
2022-12-24 6:27:54;15
2022-12-24 6:28:54;14
2022-12-24 6:29:54;22
2022-12-24 6:30:54;20
2022-12-24 6:31:54;18
2022-12-24 6:32:54;20
2022-12-24 6:33:54;14
2022-12-24 6:34:54;19
2022-12-24 6:35:54;14
2022-12-24 6:36:54;17
2022-12-24 6:37:54;8
2022-12-24 6:38:54;15
2022-12-24 6:39:54;15
2022-12-24 6:40:54;17
2022-12-24 6:41:54;16
2022-12-24 6:42:54;17
2022-12-24 6:43:54;20
2022-12-24 6:44:54;13
2022-12-24 6:45:54;17
2022-12-24 6:46:55;18
2022-12-24 6:47:55;15
2022-12-24 6:48:55;19
2022-12-24 6:49:55;19
2022-12-24 6:50:55;15
2022-12-24 6:51:55;12
2022-12-24 6:52:55;25
2022-12-24 6:53:55;14
2022-12-24 6:54:55;18
2022-12-24 6:55:55;23
2022-12-24 6:56:55;23
2022-12-24 6:57:55;18
2022-12-24 6:58:55;13
2022-12-24 6:59:55;17
2022-12-24 7:0:55;25
2022-12-24 7:1:55;24
2022-12-24 7:2:55;14
2022-12-24 7:3:55;10
2022-12-24 7:4:55;17
2022-12-24 7:5:55;18
2022-12-24 7:6:55;16
